freq_hz,relay,magnitude_mV,pk_pk_mV
50000,NW,0.071555,44.740
50000,NE,0.096227,53.713
50000,SE,0.228487,44.771
52000,NW,0.145647,53.713
52000,NE,0.232178,53.713
52000,SE,0.154916,44.740
54000,NW,0.256809,53.713
54000,NE,0.167903,44.771
54000,SE,0.217547,44.771
56000,NW,0.125109,35.798
56000,NE,0.170226,44.771
56000,SE,0.101957,35.798
58000,NW,0.344303,44.740
58000,NE,0.131463,44.740
58000,SE,0.208094,26.856
60000,NW,0.148461,62.654
60000,NE,0.172943,62.654
60000,SE,0.109794,44.740
62000,NW,0.327200,44.771
62000,NE,0.127770,62.654
62000,SE,0.229839,44.771
64000,NW,0.367420,35.798
64000,NE,0.129828,62.654
64000,SE,0.203762,53.713
66000,NW,0.237508,53.713
66000,NE,0.138979,53.713
66000,SE,0.215340,53.713
68000,NW,0.174200,44.740
68000,NE,0.290827,62.654
68000,SE,0.115512,44.740
70000,NW,0.210072,44.740
70000,NE,0.319574,62.654
70000,SE,0.171508,44.771
72000,NW,0.071072,44.740
72000,NE,0.174472,53.713
72000,SE,0.167794,44.740
74000,NW,0.125407,53.713
74000,NE,0.259022,53.713
74000,SE,0.101608,44.740
76000,NW,0.190201,53.713
76000,NE,0.120795,44.740
76000,SE,0.215322,53.713
78000,NW,0.154991,44.771
78000,NE,0.129393,62.654
78000,SE,0.219167,44.771
80000,NW,0.186190,62.654
80000,NE,0.280465,53.713
80000,SE,0.202961,53.713
82000,NW,0.089747,53.713
82000,NE,0.157135,44.740
82000,SE,0.112912,53.713
84000,NW,0.184846,44.740
84000,NE,0.135189,44.771
84000,SE,0.157243,53.713
86000,NW,0.274439,53.713
86000,NE,0.219629,44.740
86000,SE,0.382993,53.713
88000,NW,0.148611,53.713
88000,NE,0.188636,53.713
88000,SE,0.266183,53.713
90000,NW,0.172989,44.740
90000,NE,0.139591,44.771
90000,SE,0.168873,53.713
92000,NW,0.187020,53.713
92000,NE,0.169270,53.713
92000,SE,0.155063,53.713
94000,NW,0.207750,62.654
94000,NE,0.277580,53.713
94000,SE,0.171522,53.713
96000,NW,0.182996,44.771
96000,NE,0.261975,35.798
96000,SE,0.154004,53.713
98000,NW,0.120309,53.713
98000,NE,0.140712,62.654
98000,SE,0.137158,53.713
100000,NW,0.164843,44.740
100000,NE,0.154979,62.654
100000,SE,0.148272,53.713
102000,NW,0.122115,53.713
102000,NE,0.157839,53.713
102000,SE,0.213221,44.740
104000,NW,0.147845,53.713
104000,NE,0.213925,44.740
104000,SE,0.113971,44.771
106000,NW,0.127169,44.771
106000,NE,0.199762,53.713
106000,SE,0.137383,44.740
108000,NW,0.159741,53.713
108000,NE,0.207049,62.654
108000,SE,0.143497,44.740
110000,NW,0.147194,53.713
110000,NE,0.187046,53.713
110000,SE,0.186699,53.713
112000,NW,0.114429,44.771
112000,NE,0.218042,44.740
112000,SE,0.115298,53.713
114000,NW,0.165171,62.654
114000,NE,0.217336,62.654
114000,SE,0.062379,44.740
116000,NW,0.110592,44.740
116000,NE,0.199380,35.798
116000,SE,0.088253,44.740
118000,NW,0.168236,44.740
118000,NE,0.138704,53.713
118000,SE,0.106690,44.740
120000,NW,0.195080,53.713
120000,NE,0.133731,53.713
