freq_hz,relay,magnitude_mV,pk_pk_mV
50000,NW,0.883186,62.654
50000,NE,0.087671,62.654
50000,SE,0.278690,53.713
52000,NW,1.201161,44.740
52000,NE,0.102077,44.740
52000,SE,0.193639,53.713
54000,NW,1.360641,62.654
54000,NE,0.464857,53.713
54000,SE,0.204609,44.740
56000,NW,8.712427,44.771
56000,NE,6.314752,35.798
56000,SE,0.159999,53.713
58000,NW,0.148609,62.654
58000,NE,3.928926,53.713
58000,SE,0.220271,53.713
60000,NW,1.046618,62.654
60000,NE,2.517397,71.627
60000,SE,0.320527,53.713
62000,NW,0.445318,62.654
62000,NE,0.936800,53.713
62000,SE,0.139630,62.654
64000,NW,0.697470,44.771
64000,NE,0.137385,53.713
64000,SE,0.235347,53.713
66000,NW,0.376672,62.654
66000,NE,0.239586,53.713
66000,SE,0.290572,53.713
68000,NW,0.345276,62.654
68000,NE,0.218926,44.740
68000,SE,0.241994,44.740
70000,NW,0.220145,62.654
70000,NE,0.184299,62.654
70000,SE,0.188042,62.654
72000,NW,0.367750,44.740
72000,NE,0.268258,53.713
72000,SE,0.172467,44.740
74000,NW,1.885882,62.654
74000,NE,0.611252,71.627
74000,SE,0.169918,44.740
76000,NW,0.671705,62.654
76000,NE,0.745233,53.713
76000,SE,0.272122,44.740
78000,NW,0.687938,44.771
78000,NE,0.584291,53.713
78000,SE,0.283535,53.713
80000,NW,2.020072,53.713
80000,NE,0.876379,53.713
80000,SE,0.220255,35.798
82000,NW,2.030809,62.654
82000,NE,2.016441,62.654
82000,SE,0.202881,53.713
84000,NW,2.755339,44.740
84000,NE,7.226675,53.713
84000,SE,0.252799,53.713
86000,NW,1.997499,53.713
86000,NE,4.959432,62.654
86000,SE,0.349690,53.713
88000,NW,4.890312,44.740
88000,NE,4.449129,53.713
88000,SE,0.161152,53.713
90000,NW,7.554331,62.685
90000,NE,4.155139,62.654
90000,SE,0.162155,44.740
92000,NW,4.620654,62.654
92000,NE,2.975960,53.713
92000,SE,0.262409,53.713
94000,NW,2.177280,53.713
94000,NE,0.745550,44.740
94000,SE,0.274937,44.771
96000,NW,0.821995,53.713
96000,NE,0.828503,44.740
96000,SE,0.122453,53.713
98000,NW,0.565178,53.713
98000,NE,0.638561,53.713
98000,SE,0.111320,53.713
100000,NW,0.614112,44.771
100000,NE,0.997928,62.654
100000,SE,0.242969,53.713
102000,NW,0.333452,62.654
102000,NE,0.617180,53.713
102000,SE,0.151237,53.713
104000,NW,0.624621,53.713
104000,NE,0.975073,35.798
104000,SE,0.127706,53.713
106000,NW,1.081176,44.771
106000,NE,0.472726,62.654
106000,SE,0.232835,53.713
108000,NW,0.472385,53.713
108000,NE,0.336232,53.713
108000,SE,0.131874,62.654
110000,NW,1.152996,35.798
110000,NE,0.475438,53.713
110000,SE,0.160168,44.740
112000,NW,1.612753,53.713
112000,NE,1.242884,62.654
112000,SE,0.192272,53.713
114000,NW,1.964043,44.771
114000,NE,2.464293,62.654
114000,SE,0.114290,53.713
116000,NW,0.947584,71.627
116000,NE,1.487155,71.627
116000,SE,0.123632,53.713
118000,NW,0.434179,53.713
118000,NE,1.615071,62.654
118000,SE,0.208108,53.713
120000,NW,0.597464,62.685
120000,NE,1.276751,62.654
120000,SE,0.203109,53.713
122000,NW,0.458733,44.740
122000,NE,2.634381,44.740
122000,SE,0.214075,44.740
124000,NW,0.191827,35.798
124000,NE,1.248476,71.627
124000,SE,0.228211,53.713
126000,NW,0.169255,35.798
126000,NE,0.527925,62.654
126000,SE,0.095682,53.713
128000,NW,0.246405,44.771
128000,NE,0.257885,62.654
128000,SE,0.150376,62.654
130000,NW,0.270320,53.713
130000,NE,0.185802,71.627
130000,SE,0.202043,53.713
132000,NW,0.261550,44.740
132000,NE,0.216370,44.740
132000,SE,0.185251,44.740
134000,NW,0.175362,62.654
134000,NE,0.308451,62.654
134000,SE,0.165051,62.654
136000,NW,0.164574,53.713
136000,NE,0.296969,53.713
136000,SE,0.103070,53.713
138000,NW,0.288583,62.654
138000,NE,0.459244,62.654
138000,SE,0.155784,53.713
140000,NW,0.224744,62.654
140000,NE,0.463199,53.713
140000,SE,0.226260,53.713
142000,NW,0.297957,62.654
142000,NE,1.242754,53.713
142000,SE,0.223127,53.713
144000,NW,0.794077,53.713
144000,NE,0.933900,44.740
144000,SE,0.097490,53.713
146000,NW,0.883318,71.627
146000,NE,0.521856,62.654
146000,SE,0.132796,62.654
148000,NW,0.727336,53.713
148000,NE,0.562794,71.627
148000,SE,0.131401,53.713
150000,NW,0.677233,44.771
150000,NE,0.161640,62.654
150000,SE,0.192989,53.713
152000,NW,0.407536,53.713
152000,NE,0.410701,62.654
152000,SE,0.143814,53.713
154000,NW,0.142439,44.740
154000,NE,0.473739,62.654
154000,SE,0.127888,44.740
156000,NW,0.528927,44.771
156000,NE,0.227321,53.713
156000,SE,0.150780,53.713
158000,NW,0.144230,53.713
158000,NE,0.334749,71.627
158000,SE,0.145929,53.713
160000,NW,0.208443,53.713
160000,NE,0.229142,53.713
160000,SE,0.133464,53.713
162000,NW,0.299450,62.654
