t_min,balls,glass_hit,wire_hit,noise
0.5,96,69.8,100.0,230
1.0,191,71.2,100.0,236
1.5,288,70.1,100.0,255
2.0,384,70.8,100.0,207
2.5,477,71.9,100.0,248
3.0,572,72.6,99.8,271
