t_min,balls,glass_hit,wire_hit,noise_sigma,nf
61.9,7891,77.1,50.7,1.0,233
62.4,7955,77.1,50.7,1.0,230
62.9,8020,77.0,50.8,1.0,252
63.4,8084,77.0,50.7,1.0,229
63.9,8148,77.0,50.7,1.0,240
64.4,8212,76.9,50.8,1.0,243
64.9,8276,77.0,50.8,1.0,247
65.4,8340,77.0,50.9,1.0,246
65.9,8405,76.9,50.9,1.0,243
66.4,8469,76.9,50.9,1.0,248
66.9,8533,76.9,50.9,1.0,237
67.5,8597,76.9,50.9,1.0,252
68.0,8661,76.9,50.9,1.0,227
68.5,8725,76.9,50.9,1.0,247
69.0,8790,76.8,50.8,1.0,243
69.5,8854,76.8,50.8,1.0,254
70.0,8919,76.9,50.9,1.0,227
70.5,8983,76.9,50.9,1.0,234
71.0,9047,77.0,50.8,1.0,230
71.5,9111,77.0,50.9,1.0,231
72.0,9176,77.0,50.8,1.0,237
72.5,9240,77.0,50.8,1.0,230
73.0,9304,77.0,50.9,1.0,255
73.5,9368,77.0,50.8,1.0,260
74.0,9432,77.0,50.9,1.0,237
74.5,9496,77.0,50.9,1.0,258
75.0,9560,77.0,50.8,1.0,241
75.5,9624,77.1,50.8,1.0,237
76.0,9688,77.1,50.8,1.0,241
76.5,9752,77.0,50.8,1.0,244
77.0,9816,77.0,50.9,1.0,243
77.5,9880,77.0,50.9,1.0,246
78.0,9945,76.9,50.8,1.0,235
78.5,10009,77.0,50.8,1.0,248
79.1,10073,77.0,50.7,1.0,242
79.6,10137,77.0,50.7,1.0,244
80.1,10201,77.0,50.8,1.0,251
80.6,10265,77.0,50.7,1.0,246
81.1,10330,77.0,50.8,1.0,244
81.6,10394,77.0,50.8,1.0,232
82.1,10458,77.1,50.8,1.0,251
82.6,10522,77.1,50.8,1.0,250
83.1,10586,77.1,50.8,1.0,244
83.6,10650,77.1,50.9,1.0,243
84.1,10714,77.1,50.9,1.0,237
84.6,10778,77.1,50.9,1.0,258
85.1,10842,77.1,51.0,1.0,233
85.6,10906,77.0,50.9,1.0,250
86.1,10970,77.0,50.9,1.0,238
86.6,11034,77.0,50.9,1.0,222
87.1,11101,77.0,51.0,1.0,270
87.6,11165,77.0,51.0,1.0,247
88.1,11229,77.0,51.0,1.0,245
88.6,11293,77.0,51.0,1.0,271
89.1,11357,76.9,50.9,1.0,242
89.6,11421,76.9,50.9,1.0,231
90.1,11485,76.9,50.9,1.0,242
90.6,11549,76.9,50.9,1.0,260
91.1,11613,76.9,50.9,1.0,239
91.6,11677,77.0,50.9,1.0,238
92.1,11741,77.0,50.8,1.0,245
92.6,11805,77.0,50.8,1.0,237
93.1,11870,77.0,50.8,1.0,222
93.6,11934,77.0,50.7,1.0,234
94.2,11998,77.0,50.7,1.0,259
94.7,12062,76.9,50.7,1.0,232
95.2,12126,76.9,50.7,1.0,238
95.7,12190,77.0,50.8,1.0,240
96.2,12254,77.0,50.8,1.0,247
96.7,12318,77.0,50.8,1.0,233
97.2,12382,77.0,50.8,1.0,209
97.7,12446,77.0,50.8,1.0,237
98.2,12510,77.0,50.9,1.0,235
98.7,12574,77.0,50.9,1.0,222
99.2,12638,77.0,50.9,1.0,232
99.7,12702,77.1,50.9,1.0,247
100.2,12766,77.1,50.9,1.0,218
100.7,12830,77.0,50.8,1.0,233
101.2,12894,77.0,50.8,1.0,282
101.7,12958,76.9,50.8,1.0,240
102.2,13022,76.9,50.8,1.0,231
102.7,13086,77.0,50.8,1.0,237
103.2,13150,77.0,50.8,1.0,239
103.7,13214,76.9,50.8,1.0,228
104.2,13278,76.9,50.8,1.0,229
104.7,13342,77.0,50.9,1.0,253
105.2,13406,77.0,50.9,1.0,234
105.7,13470,76.9,50.8,1.0,255
106.2,13534,77.0,50.8,1.0,228
106.7,13598,77.0,50.8,1.0,251
107.2,13662,77.0,50.8,1.0,237
107.7,13726,77.0,50.8,1.0,231
108.2,13791,77.0,50.8,1.0,241
108.7,13855,77.0,50.8,1.0,242
109.2,13919,76.9,50.8,1.0,223
109.7,13983,77.0,50.8,1.0,233
110.3,14047,77.0,50.9,1.0,243
110.8,14111,76.9,50.9,1.0,224
111.3,14175,76.9,50.8,1.0,233
111.8,14239,77.0,50.8,1.0,229
112.3,14303,77.0,50.9,1.0,246
112.8,14367,76.9,50.8,1.0,229
113.3,14431,76.9,50.8,1.0,239
113.8,14495,76.9,50.8,1.0,243
114.3,14559,76.9,50.8,1.0,256
114.8,14623,76.9,50.7,1.0,243
115.3,14687,77.0,50.7,1.0,265
115.8,14751,76.9,50.7,1.0,218
116.3,14815,76.9,50.7,1.0,227
116.8,14879,76.9,50.6,1.0,231
117.3,14944,76.9,50.6,1.0,259
117.8,15008,77.0,50.6,1.0,246
118.3,15072,77.0,50.6,1.0,235
118.8,15136,77.0,50.6,1.0,234
119.3,15200,77.0,50.6,1.0,206
119.8,15264,77.0,50.6,1.0,233
