t_min,balls,glass_hit,wire_hit,noise_sigma,nf
0.5,66,81.8,59.1,1.0,259
1.0,132,78.8,54.5,1.0,238
1.5,198,77.8,52.5,1.0,294
2.0,264,79.2,52.7,1.0,234
2.5,328,78.4,51.5,1.0,231
3.0,392,78.3,51.5,1.0,239
3.5,456,79.2,51.5,1.0,239
4.0,520,79.6,50.8,1.0,241
4.5,584,80.3,50.2,1.0,244
5.0,648,79.8,51.9,1.0,255
5.5,713,79.1,52.2,1.0,254
6.0,777,79.4,52.5,1.0,243
6.5,841,79.4,52.2,1.0,235
7.0,905,79.1,52.6,1.0,241
7.6,969,79.1,52.3,1.0,229
8.1,1033,78.9,52.3,1.0,230
8.6,1098,78.9,52.2,1.0,227
9.1,1162,78.1,52.3,1.0,249
9.6,1226,78.2,52.3,1.0,245
10.1,1290,77.6,51.6,1.0,229
10.6,1354,77.9,52.1,1.0,234
11.1,1418,77.9,52.1,1.0,256
11.6,1482,77.9,52.2,1.0,229
12.1,1546,78.0,51.7,1.0,261
12.6,1610,77.6,51.7,1.0,245
13.1,1674,77.9,51.7,1.0,241
13.6,1738,77.8,51.8,1.0,261
14.1,1802,77.7,51.9,1.0,239
14.6,1866,77.6,51.7,1.0,233
15.1,1930,77.6,51.8,1.0,227
15.6,1994,77.4,51.9,1.0,245
16.1,2058,77.4,51.9,1.0,249
16.6,2122,77.7,51.9,1.0,242
17.1,2186,77.5,52.2,1.0,239
17.6,2251,77.7,52.2,1.0,258
18.1,2315,77.4,52.1,1.0,233
18.6,2379,77.0,51.9,1.0,241
19.1,2443,77.2,51.5,1.0,249
19.6,2507,77.1,51.5,1.0,261
20.1,2571,77.1,51.5,1.0,231
20.6,2636,77.0,51.6,1.0,246
21.1,2700,77.2,51.3,1.0,239
21.6,2764,77.0,51.1,1.0,243
22.2,2828,77.0,51.1,1.0,262
22.7,2892,77.0,51.2,1.0,250
23.2,2956,77.0,51.3,1.0,248
23.7,3020,76.9,51.1,1.0,259
24.2,3084,77.0,51.2,1.0,213
24.7,3148,77.1,51.2,1.0,239
25.2,3213,77.0,51.3,1.0,236
25.7,3277,77.0,51.3,1.0,252
26.2,3341,77.0,51.3,1.0,230
26.7,3406,77.1,51.4,1.0,244
27.2,3470,77.0,51.4,1.0,243
27.7,3534,77.2,51.5,1.0,224
28.2,3598,77.2,51.4,1.0,249
28.7,3662,77.2,51.4,1.0,240
29.2,3726,77.0,51.7,1.0,233
29.7,3790,77.1,51.6,1.0,248
30.2,3854,77.1,51.6,1.0,242
30.7,3918,77.1,51.4,1.0,206
31.2,3982,77.1,51.5,1.0,231
31.7,4046,77.1,51.5,1.0,236
32.2,4110,77.1,51.6,1.0,231
32.7,4174,77.1,51.4,1.0,246
33.2,4238,77.2,51.3,1.0,229
33.7,4302,77.2,51.4,1.0,244
34.2,4366,77.2,51.4,1.0,228
34.7,4430,77.1,51.3,1.0,244
35.2,4494,77.1,51.4,1.0,236
35.7,4558,77.1,51.4,1.0,217
36.2,4622,77.1,51.5,1.0,254
36.7,4686,77.1,51.5,1.0,236
37.2,4750,77.2,51.5,1.0,251
37.7,4814,77.1,51.6,1.0,232
38.2,4878,77.1,51.5,1.0,249
38.7,4942,77.1,51.5,1.0,236
39.3,5006,77.0,51.6,1.0,222
39.8,5070,77.1,51.5,1.0,233
40.3,5134,77.2,51.5,1.0,236
40.8,5198,77.3,51.6,1.0,221
41.3,5262,77.2,51.6,1.0,234
41.8,5327,77.1,51.5,1.0,235
42.3,5391,77.1,51.6,1.0,238
42.8,5455,77.2,51.6,1.0,216
43.3,5519,77.3,51.5,1.0,241
43.8,5583,77.4,51.5,1.0,228
44.3,5647,77.4,51.5,1.0,235
44.8,5712,77.5,51.5,1.0,249
45.3,5776,77.4,51.5,1.0,239
45.8,5840,77.5,51.5,1.0,247
46.3,5904,77.4,51.5,1.0,253
46.8,5968,77.4,51.5,1.0,257
47.3,6032,77.4,51.5,1.0,245
47.8,6097,77.4,51.3,1.0,238
48.3,6161,77.3,51.3,1.0,238
48.8,6225,77.4,51.2,1.0,231
49.3,6289,77.4,51.2,1.0,237
49.8,6353,77.4,51.1,1.0,260
50.3,6417,77.3,51.1,1.0,248
50.8,6481,77.3,51.3,1.0,229
51.3,6545,77.2,51.2,1.0,243
51.8,6609,77.2,51.2,1.0,219
52.3,6673,77.2,51.2,1.0,236
52.9,6737,77.1,51.0,1.0,261
53.4,6801,77.2,51.0,1.0,235
53.9,6866,77.2,51.0,1.0,248
54.4,6930,77.2,50.9,1.0,235
54.9,6994,77.1,50.9,1.0,229
55.4,7058,77.1,50.9,1.0,244
55.9,7122,77.1,50.8,1.0,222
56.4,7186,77.2,50.8,1.0,239
56.9,7251,77.1,50.9,1.0,254
57.4,7315,77.1,50.9,1.0,257
57.9,7379,77.1,50.9,1.0,243
58.4,7443,77.1,50.9,1.0,230
58.9,7507,77.1,50.8,1.0,251
59.4,7571,77.1,50.9,1.0,245
59.9,7635,77.1,50.8,1.0,253
60.4,7699,77.1,50.8,1.0,231
60.9,7763,77.1,50.8,1.0,259
61.4,7827,77.1,50.8,1.0,242
